,Area,Mean,Min,Max
1,2.69,27201.181,4398,50755
2,2.69,27578.038,4020,56382
3,2.69,4274.38,1513,11558
4,2.69,4344.198,1685,14199
5,2.69,17425.641,881,32583
6,2.69,16569.532,2527,31947
7,2.69,14529.134,1720,26325
8,2.69,16495.385,2854,27848
9,2.69,14474.338,3088,27072
10,2.69,11845.511,2473,20921
11,2.69,11373.915,1952,22043
12,2.69,15110.939,2934,26911
13,2.69,9693.73,478,21870
14,2.69,9393.486,2823,22782
15,2.69,7803.119,2038,15748
16,2.69,7207.553,1470,18204
17,2.69,5551.18,1684,11232
18,2.69,6192.268,1373,16786
19,2.69,5274.898,640,13933
20,2.69,6108.245,1885,26586
21,2.69,5022.126,1570,17055
22,2.69,5258.815,1647,12223
23,2.69,15970.676,200,32157
24,2.69,16329.737,3136,27077
25,2.69,16801.353,3332,36853
26,2.69,16527.908,2842,27590
27,2.69,12768.853,3264,22278
28,2.69,13350.412,2582,40650
29,2.69,13023.207,1561,21789
30,2.69,14165.504,3185,22426
31,2.69,14746.611,1695,29775
32,2.69,13944.432,3242,23214
33,2.69,15204.325,2974,26128
34,2.69,15513.945,2520,25534
35,2.69,16388.887,2830,27344
36,2.69,16970.273,2997,43068